# component|version|license expression|bundle files|license files|source evidence
CGAL|6.2|GPL-3.0-or-later, alternative upstream license texts retained|Contents/MacOS/Signet|runtime/CGAL-6.2/LICENSE,runtime/CGAL-6.2/LICENSE.BSL,runtime/CGAL-6.2/LICENSE.COMMERCIAL,runtime/CGAL-6.2/LICENSE.GPL,runtime/CGAL-6.2/LICENSE.LGPL,runtime/CGAL-6.2/LICENSE.RFL|Homebrew Cellar/cgal/6.2/LICENSE*
libb2|0.98.1|CC0-1.0|Contents/Frameworks/libb2.1.dylib|runtime/libb2/COPYING|Homebrew Cellar/libb2/0.98.1/COPYING
dbus|1.16.2_1|AFL-2.1 OR GPL-2.0-or-later|Contents/Frameworks/libdbus-1.3.dylib|runtime/dbus/COPYING|Homebrew Cellar/dbus/1.16.2_1/COPYING
double-conversion|3.4.0|BSD-3-Clause|Contents/Frameworks/libdouble-conversion.3.4.0.dylib|runtime/double-conversion/COPYING,runtime/double-conversion/LICENSE|Homebrew Cellar/double-conversion/3.4.0/{COPYING,LICENSE}
freetype|2.14.3|FTL|Contents/Frameworks/libfreetype.6.dylib|runtime/freetype/LICENSE.TXT|Homebrew Cellar/freetype/2.14.3/LICENSE.TXT
glib|2.88.3|LGPL-2.1-or-later|Contents/Frameworks/libglib-2.0.0.dylib,Contents/Frameworks/libgthread-2.0.0.dylib|runtime/glib/LGPL-2.1-or-later.txt|Homebrew Cellar/glib/2.88.3/LGPL-2.1-or-later.txt
GMP|6.3.0|LGPL-3.0-or-later OR GPL-2.0-or-later|Contents/Frameworks/libgmp.10.dylib,Contents/Frameworks/libgmpxx.4.dylib|runtime/gmp/COPYING,runtime/gmp/COPYING.LESSERv3|Homebrew Cellar/gmp/6.3.0/COPYING*
graphite2|1.3.15|MIT OR MPL-2.0 OR LGPL-2.1-or-later OR GPL-2.0-or-later|Contents/Frameworks/libgraphite2.3.3.1.dylib|runtime/graphite2/COPYING,runtime/graphite2/LICENSE|Homebrew Cellar/graphite2/1.3.15/{COPYING,LICENSE}
harfbuzz|14.3.0|MIT|Contents/Frameworks/libharfbuzz.0.dylib|runtime/harfbuzz/COPYING|Homebrew Cellar/harfbuzz/14.3.0/COPYING
icu4c@78|78.3|Unicode-3.0|Contents/Frameworks/libicudata.78.3.dylib,Contents/Frameworks/libicui18n.78.3.dylib,Contents/Frameworks/libicuuc.78.3.dylib|runtime/icu4c@78/LICENSE|Homebrew Cellar/icu4c@78/78.3/LICENSE
gettext|1.0|GPL-3.0-or-later AND LGPL-2.1-or-later|Contents/Frameworks/libintl.8.dylib|runtime/gettext/COPYING|Homebrew Cellar/gettext/1.0/COPYING
jasper|4.2.9|JasPer-2.0|Contents/Frameworks/libjasper.7.0.0.dylib|runtime/jasper/COPYRIGHT.txt,runtime/jasper/LICENSE.txt|Homebrew Cellar/jasper/4.2.9/{COPYRIGHT.txt,LICENSE.txt}
jpeg-turbo|3.2.0|IJG AND Zlib AND BSD-3-Clause|Contents/Frameworks/libjpeg.8.3.2.dylib|runtime/jpeg-turbo/LICENSE.md|Homebrew Cellar/jpeg-turbo/3.2.0/LICENSE.md
little-cms2|2.19|MIT|Contents/Frameworks/liblcms2.2.dylib|runtime/little-cms2/LICENSE|Homebrew Cellar/little-cms2/2.19/LICENSE
xz|5.8.3|0BSD AND GPL-2.0-or-later|Contents/Frameworks/liblzma.5.dylib|runtime/xz/COPYING,runtime/xz/COPYING.0BSD,runtime/xz/COPYING.GPLv2,runtime/xz/COPYING.GPLv3,runtime/xz/COPYING.LGPLv2.1|Homebrew Cellar/xz/5.8.3/COPYING*
md4c|0.5.3|MIT|Contents/Frameworks/libmd4c.0.5.3.dylib|runtime/md4c/LICENSE.md|Homebrew Cellar/md4c/0.5.3/LICENSE.md
libmng|2.0.3_1|Zlib|Contents/Frameworks/libmng.2.dylib|runtime/libmng/LICENSE|Homebrew Cellar/libmng/2.0.3_1/LICENSE
MPFR|4.2.2|LGPL-3.0-or-later|Contents/Frameworks/libmpfr.6.dylib|runtime/mpfr/COPYING,runtime/mpfr/COPYING.LESSER|Homebrew Cellar/mpfr/4.2.2/COPYING*
pcre2|10.47_1|BSD-3-Clause|Contents/Frameworks/libpcre2-16.0.dylib,Contents/Frameworks/libpcre2-8.0.dylib|runtime/pcre2/COPYING|Homebrew Cellar/pcre2/10.47_1/COPYING
libpng|1.6.58|libpng-2.0|Contents/Frameworks/libpng16.16.dylib|runtime/libpng/LICENSE|Homebrew Cellar/libpng/1.6.58/LICENSE
webp|1.6.0|BSD-3-Clause|Contents/Frameworks/libsharpyuv.0.1.2.dylib,Contents/Frameworks/libwebp.7.2.0.dylib,Contents/Frameworks/libwebpdemux.2.0.17.dylib,Contents/Frameworks/libwebpmux.3.1.2.dylib|runtime/webp/COPYING|Homebrew Cellar/webp/1.6.0/COPYING
libtiff|4.7.2|libtiff|Contents/Frameworks/libtiff.6.dylib|runtime/libtiff/LICENSE.md|Homebrew Cellar/libtiff/4.7.2/LICENSE.md
zstd|1.5.7_1|(BSD-3-Clause OR GPL-2.0-only) AND BSD-2-Clause AND MIT|Contents/Frameworks/libzstd.1.5.7.dylib|runtime/zstd/COPYING,runtime/zstd/LICENSE|Homebrew Cellar/zstd/1.5.7_1/{COPYING,LICENSE}
QtBase|6.11.1|LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only, Qt-GPL-exception-1.0, BSD-3-Clause, GFDL-1.3-no-invariants-only|Contents/Frameworks/QtCore,Contents/Frameworks/QtCore.framework/Versions/A/QtCore,Contents/Frameworks/QtDBus,Contents/Frameworks/QtDBus.framework/Versions/A/QtDBus,Contents/Frameworks/QtGui,Contents/Frameworks/QtGui.framework/Versions/A/QtGui,Contents/Frameworks/QtWidgets,Contents/Frameworks/QtWidgets.framework/Versions/A/QtWidgets,Contents/PlugIns/platforms/libqcocoa.dylib,Contents/PlugIns/styles/libqmacstyle.dylib|runtime/Qt-6.11.1/LGPL-3.0.txt,runtime/Qt-6.11.1/qtbase-6.11.1-sbom.spdx.json,runtime/Qt-6.11.1/qt-6.11.1-sbom.spdx.json,runtime/Qt-6.11.1/Qt-6.11.1-LICENSING-NOTICE.txt|Homebrew Cellar/qtbase/6.11.1/sbom.spdx.json, Homebrew Cellar/qt/6.11.1/sbom.spdx.json
